Modified Element,Change action,Does the change introduce 1s?,Is a throwing event affected?,Is a catch event affected?,Is communication affected?,Critic element?,Is the previous event triggered by the modified microservice?,Adaptation rule
0,0,0,0,1,1,1,0,1
1,0,0,0,1,1,1,0,1
1,0,0,0,1,1,1,1,2
0,0,0,0,1,1,0,0,101
0,0,0,0,1,1,0,1,201
1,0,0,0,1,1,0,1,201
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
0,0,0,0,1,1,1,0,1
0,0,0,0,1,1,0,0,101
1,0,0,0,1,1,0,1,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
0,0,0,0,1,1,1,0,1
0,0,0,0,1,1,1,1,2
0,0,0,0,1,1,0,0,101
0,0,0,0,1,1,0,1,201
1,0,0,0,1,1,0,1,201
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
2,0,0,1,0,1,1,0,5
2,0,0,1,0,1,0,0,501
2,0,0,0,0,0,0,0,0
3,0,0,1,0,1,1,0,5
3,0,0,1,0,1,1,1,6
3,0,0,1,0,1,0,0,501
3,0,0,1,0,1,0,1,601
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1,0
2,0,0,1,0,1,1,0,5
2,0,0,1,0,1,0,0,501
2,0,0,0,0,0,0,0,0
3,0,0,1,0,1,1,0,5
3,0,0,1,0,1,1,1,6
3,0,0,1,0,1,0,0,501
3,0,0,1,0,1,0,1,601
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1,0
2,0,0,1,0,1,1,0,5
2,0,0,1,0,1,0,0,501
2,0,0,0,0,0,0,0,0
3,0,0,1,0,1,1,0,5
3,0,0,1,0,1,1,1,6
3,0,0,1,0,1,0,0,501
3,0,0,1,0,1,0,1,601
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1,0
0,1,1,0,1,1,1,0,9
0,1,1,0,1,1,1,1,9
1,1,0,0,1,1,1,0,10
1,1,0,0,1,1,1,1,10
0,1,1,0,1,1,0,0,901
0,1,1,0,1,1,0,1,9
1,1,0,0,1,1,0,0,1001
1,1,0,0,1,1,0,1,1001
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0
0,1,1,0,1,1,1,0,9
0,1,1,0,1,1,1,1,9
1,1,0,0,1,1,1,0,10
1,1,0,0,1,1,1,1,10
0,1,1,0,1,1,0,0,9
0,1,1,0,1,1,0,1,9
0,1,0,0,1,1,0,1,1001
1,1,0,0,1,1,0,0,1001
1,1,0,0,1,1,0,1,1001
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0
0,1,1,0,1,1,1,0,9
0,1,1,0,1,1,1,1,9
0,1,0,0,1,1,1,0,10
1,1,0,0,1,1,1,0,10
1,1,0,0,1,1,1,1,10
0,1,1,0,1,1,0,0,901
0,1,1,0,1,1,0,1,901
1,1,1,0,1,1,0,1,901
